PCG.Canis_lupus_familiaris	conf.Canis_lupus_familiaris	PCG.Homo_sapiens	conf.Homo_sapiens	lncRNA.Canis_lupus_familiaris	class.Canis_lupus_familiaris	distance.Canis_lupus_familiaris	lncRNA.Homo_sapiens	class.Homo_sapiens	distance.Homo_sapiens	orthology_type.Canis_lupus_familiaris-Homo_sapiens
ENSCAFG00845025017	lncgDivg	ENSG00000162882	lncgDivg	ENSCAFG00845025071	1.1.1	686	ENSG00000288886;ENSG00000289082	n.n.1;1.1.1	0;2733	one_to_many
ENSCAFG00845023430	lncgDivg	ENSG00000163349	lncgDivg	ENSCAFG00845023322	1.1.1	4209	ENSG00000235527	n.n.1	0	one_to_one
ENSCAFG00845018268	lncgDivg	ENSG00000163430	lncgDivg	ENSCAFG00845018648	1.1.1	4603	ENSG00000286735	1.1.1	0	one_to_one
ENSCAFG00845029700	lncgDivg	ENSG00000163607	lncgDivg	ENSCAFG00845029687	1.1.1	21	ENSG00000272844	1.1.1	0	one_to_one
ENSCAFG00845016529	lncgDivg	ENSG00000163644	lncgDivg	ENSCAFG00845016710	n.1.1	215	ENSG00000246375	n.n.1	0	one_to_one
ENSCAFG00845017182	lncgDivg	ENSG00000164107	lncgDivg	ENSCAFG00845017236	n.1.1	1188	ENSG00000237125	n.n.1	0	one_to_one
ENSCAFG00845018131	lncgDivg	ENSG00000164180	lncgDivg	ENSCAFG00845018054	1.1.1	1552	ENSG00000247828	n.n.1	0	one_to_one
ENSCAFG00845028609	lncgDivg	ENSG00000164532	lncgDivg	ENSCAFG00845028651	n.1.1	10285	ENSG00000289335	1.1.1	611	one_to_one
ENSCAFG00845022762	lncgDivg	ENSG00000164654	lncgDivg	ENSCAFG00845022704	1.1.1	2287	ENSG00000272894	n.n.1	0	one_to_one
ENSCAFG00845005598	lncgDivg	ENSG00000165119	lncgDivg	ENSCAFG00845005548	1.1.1	131	ENSG00000235298	1.1.1	0	one_to_one
ENSCAFG00845023862	lncgDivg	ENSG00000165233	lncgDivg	ENSCAFG00845023904	1.1.1	549	ENSG00000223446	1.1.1	671	one_to_one
ENSCAFG00845003843	lncgDivg	ENSG00000165355	lncgDivg	ENSCAFG00845003855	1.1.1	416	ENSG00000258526	n.1.1	133	one_to_one
ENSCAFG00845017045	lncgDivg	ENSG00000165588	lncgDivg	ENSCAFG00845017086	1.1.1	1132	ENSG00000248550	n.1.1	0	one_to_one
ENSCAFG00845030505	lncgDivg	ENSG00000165966	lncgDivg	ENSCAFG00845030524	1.1.1	2248	ENSG00000257228	n.n.1	0	one_to_one
ENSCAFG00845024882	lncgDivg	ENSG00000166816	lncgDivg	ENSCAFG00845024858	1.1.1	2713	ENSG00000261058	1.1.1	2778	one_to_one
ENSCAFG00845007815	lncgDivg	ENSG00000168288	lncgDivg	ENSCAFG00845007905	1.1.1	138	ENSG00000231969	n.n.1	0	one_to_one
ENSCAFG00845021231	lncgDivg	ENSG00000169783	lncgDivg	ENSCAFG00845021114;ENSCAFG00845021140	1.1.1;1.1.1	4184;3099	ENSG00000259281;ENSG00000259213;ENSG00000259666	1.1.1;n.1.1;n.1.1	0;0;0	many_to_many
ENSCAFG00845013162	lncgDivg	ENSG00000170485	lncgDivg	ENSCAFG00845015981	1.1.1	3379	ENSG00000230140	n.n.1	0	one_to_one
ENSCAFG00845024655	lncgDivg	ENSG00000170549	lncgDivg	ENSCAFG00845024835	1.1.1	112	ENSG00000259603	1.1.1	0	one_to_one
ENSCAFG00845028910	lncgDivg	ENSG00000171016	lncgDivg	ENSCAFG00845028927	1.1.1	336	ENSG00000285805	1.1.1	0	one_to_one
ENSCAFG00845016932	lncgDivg	ENSG00000171858	lncgDivg	ENSCAFG00845016906	1.1.1	1934	ENSG00000273619	1.1.1	103	one_to_one
ENSCAFG00845004996	lncgDivg	ENSG00000172379	lncgDivg	ENSCAFG00845004944	n.1.1	1526	ENSG00000287813;ENSG00000259175;ENSG00000258010;ENSG00000270919;ENSG00000259495	1.1.1;1.1.1;n.n.1;1.1.1;n.1.1	0;0;0;0;136	one_to_many
ENSCAFG00845013048	lncgDivg	ENSG00000173068	lncgDivg	ENSCAFG00845013280	1.1.1	1169	ENSG00000230694;ENSG00000231756;ENSG00000234779	1.1.1;1.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845022460	lncgDivg	ENSG00000173376	lncgDivg	ENSCAFG00845022428	1.1.1	479	ENSG00000250344	1.1.1	0	one_to_one
ENSCAFG00845013616	lncgDivg	ENSG00000173406	lncgDivg	ENSCAFG00845013543	1.1.1	4532	ENSG00000235038;ENSG00000226759;ENSG00000227935	1.1.1;n.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845013778	lncgDivg	ENSG00000174780	lncgDivg	ENSCAFG00845013757	1.1.1	39	ENSG00000289393	1.1.1	39	one_to_one
ENSCAFG00845026392	lncgDivg	ENSG00000175161	lncgDivg	ENSCAFG00845019009	1.1.1	46	ENSG00000241648;ENSG00000239519	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845015564	lncgDivg	ENSG00000175745	lncgDivg	ENSCAFG00845015649	n.1.1	3719	ENSG00000237187	n.n.1	0	one_to_one
ENSCAFG00845009198	lncgDivg	ENSG00000176165	lncgDivg	ENSCAFG00845009182	1.1.1	1865	ENSG00000257126	n.n.1	0	one_to_one
ENSCAFG00845003311	lncgDivg	ENSG00000176788	lncgDivg	ENSCAFG00845003316	1.1.1	1192	ENSG00000215196;ENSG00000271892	n.n.1;1.1.1	0;0	one_to_many
ENSCAFG00845022195	lncgDivg	ENSG00000176887	lncgDivg	ENSCAFG00845022159	n.1.1	11033	ENSG00000230090;ENSG00000224128	n.1.1;1.1.1	1266;896	one_to_many
ENSCAFG00845006239	lncgDivg	ENSG00000177108	lncgDivg	ENSCAFG00845006280	n.1.1	126	ENSG00000269883	1.1.1	0	one_to_one
ENSCAFG00845002667	lncgDivg	ENSG00000178163	lncgDivg	ENSCAFG00845002656	1.1.1	3901	ENSG00000287154	1.1.1	0	one_to_one
ENSCAFG00845003120	lncgDivg	ENSG00000178188	lncgDivg	ENSCAFG00845003046	1.1.1	241	ENSG00000261766	1.1.1	0	one_to_one
ENSCAFG00845018879	lncgDivg	ENSG00000179528	lncgDivg	ENSCAFG00845018844	1.1.1	1307	ENSG00000272183	1.1.1	0	one_to_one
ENSCAFG00845015177	lncgDivg	ENSG00000181722	lncgDivg	ENSCAFG00845015227	n.1.1	30068	ENSG00000242767;ENSG00000241560;ENSG00000288896;ENSG00000242880;ENSG00000242290;ENSG00000239946;ENSG00000241295	1.1.1;n.n.1;1.1.1;n.1.1;n.n.1;1.1.1;1.1.1	0;0;483;313;0;0;0	one_to_many
ENSCAFG00845004226	lncgDivg	ENSG00000182901	lncgDivg	ENSCAFG00845004340	1.1.1	435	ENSG00000286496	n.n.1	0	one_to_one
ENSCAFG00845002697	lncgDivg	ENSG00000183032	lncgDivg	ENSCAFG00845002831	1.1.1	2474	ENSG00000258708;ENSG00000258601;ENSG00000258690	1.1.1;1.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845005783	lncgDivg	ENSG00000183508	lncgDivg	ENSCAFG00845029579	n.1.1	258	ENSG00000236866	n.1.1	278	one_to_one
ENSCAFG00845003787	lncgDivg	ENSG00000183580	lncgDivg	ENSCAFG00845003795	1.1.1	402	ENSG00000250250	n.1.1	0	one_to_one
ENSCAFG00845019378	lncgDivg	ENSG00000183775	lncgDivg	ENSCAFG00845019366;ENSCAFG00845019325	1.1.1;n.1.1	922;1983	ENSG00000285605	1.1.1	0	many_to_one
ENSCAFG00845019714	lncgDivg	ENSG00000184897	lncgDivg	ENSCAFG00845019682	n.1.1	441	ENSG00000206417	n.n.1	0	one_to_one
ENSCAFG00845027359	lncgDivg	ENSG00000184937	lncgDivg	ENSCAFG00845027246	n.n.n	117	ENSG00000183242	n.n.1	0	one_to_one
ENSCAFG00845012881	lncgDivg	ENSG00000185513	lncgDivg	ENSCAFG00845012801	1.1.1	304	ENSG00000226143	1.1.1	0	one_to_one
ENSCAFG00845030221	lncgDivg	ENSG00000185668	lncgDivg	ENSCAFG00845030208	n.1.1	62912	ENSG00000224592	n.1.1	521	one_to_one
ENSCAFG00845015872	lncgDivg	ENSG00000185737	lncgDivg	ENSCAFG00845015727	1.1.1	1046	ENSG00000229458;ENSG00000287358;ENSG00000225738;ENSG00000285739	1.1.1;1.1.1;n.n.1;1.1.1	0;61;0;0	one_to_many
ENSCAFG00845003905	lncgDivg	ENSG00000185920	lncgDivg	ENSCAFG00845003833	1.1.1	3509	ENSG00000271314;ENSG00000271155;ENSG00000271659	1.1.1;1.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845029711	lncgDivg	ENSG00000185942	lncgDivg	ENSCAFG00845029682	1.1.1	455	ENSG00000285971;ENSG00000287105;ENSG00000254050	1.1.1;1.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845014681	lncgDivg	ENSG00000188822	lncgDivg	ENSCAFG00845014652	n.1.1	320	ENSG00000232557	1.1.1	0	one_to_one
ENSCAFG00845002090	lncgDivg	ENSG00000188827	lncgDivg	ENSCAFG00845002068	1.1.1	140	ENSG00000261938	1.1.1	0	one_to_one
ENSCAFG00845028843	lncgDivg	ENSG00000188931	lncgDivg	ENSCAFG00845028827	1.1.1	2628	ENSG00000288670	1.1.1	146	one_to_one
ENSCAFG00845022596	lncgDivg	ENSG00000196562	lncgDivg	ENSCAFG00845022798	1.1.1	3109	ENSG00000255438	1.1.1	0	one_to_one
ENSCAFG00845028913	lncgDivg	ENSG00000196704	lncgDivg	ENSCAFG00845028878	1.1.1	893	ENSG00000265100	1.1.1	0	one_to_one
ENSCAFG00845007046	lncgDivg	ENSG00000196781	lncgDivg	ENSCAFG00845006899;ENSCAFG00845006972	n.n.n;1.1.1	1456;78	ENSG00000233926	n.1.1	166	many_to_one
ENSCAFG00845007061	lncgDivg	ENSG00000197050	lncgDivg	ENSCAFG00845007096	1.1.1	2531	ENSG00000267345	n.n.1	0	one_to_one
ENSCAFG00845015419	lncgDivg	ENSG00000197530	lncgDivg	ENSCAFG00845015381	1.1.1	153	ENSG00000272106	1.1.1	0	one_to_one
ENSCAFG00845029509	lncgDivg	ENSG00000198162	lncgDivg	ENSCAFG00845029475	1.1.1	69	ENSG00000271427	1.1.1	1976	one_to_one
ENSCAFG00845016505	lncgDivg	ENSG00000198646	lncgDivg	ENSCAFG00845016783	1.1.1	2457	ENSG00000286803	1.1.1	0	one_to_one
ENSCAFG00845025222	lncgDivg	ENSG00000198836	lncgDivg	ENSCAFG00845025092	1.1.1	259	ENSG00000224855	n.1.1	0	one_to_one
ENSCAFG00845003940	lncgDivg	ENSG00000205476	lncgDivg	ENSCAFG00845003969	n.n.n	1052	ENSG00000258749;ENSG00000247970	1.1.1;1.1.1	0;310	one_to_many
ENSCAFG00845000705	lncgDivg	ENSG00000205832	lncgDivg	ENSCAFG00845000750	1.1.1	21	ENSG00000261789	1.1.1	0	one_to_one
ENSCAFG00845002013	lncgDivg	ENSG00000213918	lncgDivg	ENSCAFG00845002048	1.1.1	238	ENSG00000263235	1.1.1	0	one_to_one
ENSCAFG00845003276	lncgDivg	ENSG00000215277	lncgDivg	ENSCAFG00845003269	1.1.1	3115	ENSG00000289968	1.1.1	0	one_to_one
ENSCAFG00845017572	lncgDivg	ENSG00000255690	lncgDivg	ENSCAFG00845017601	n.n.n	2911	ENSG00000228421	1.1.1	0	one_to_one
ENSCAFG00845000191	lncgDivg	ENSG00000256463	lncgDivg	ENSCAFG00845000262	1.1.1	1739	ENSG00000263146	n.1.1	1935	one_to_one
ENSCAFG00845017414	lncgDivg	ENSG00000264364	lncgDivg	ENSCAFG00845017328	n.1.1	1630	ENSG00000266290	1.1.1	215	one_to_one
ENSCAFG00845017152	lncgSS.dw	ENSG00000002746	lncgSS.dw	ENSCAFG00845011911	1.1.1	209	ENSG00000181211	1.1.1	0	one_to_one
ENSCAFG00845008127	lncgSS.dw	ENSG00000021645	lncgSS.dw	ENSCAFG00845008240	1.1.1	2113	ENSG00000258419	1.1.1	0	one_to_one
ENSCAFG00845024620	lncgSS.dw	ENSG00000029153	lncgSS.dw	ENSCAFG00845024560	1.1.1	664	ENSG00000288971	1.1.1	3530	one_to_one
ENSCAFG00845022198	lncgSS.dw	ENSG00000048828	lncgSS.dw	ENSCAFG00845022179	1.1.1	1397	ENSG00000289031	1.1.1	649	one_to_one
ENSCAFG00845002724	lncgSS.dw	ENSG00000065135	lncgSS.dw	ENSCAFG00845002708	1.1.1	2124	ENSG00000225113	1.1.1	0	one_to_one
ENSCAFG00845003608	lncgSS.dw	ENSG00000066739	lncgSS.dw	ENSCAFG00845003590	1.1.1	707	ENSG00000258729	n.1.1	2472	one_to_one
ENSCAFG00845011316	lncgSS.dw	ENSG00000069020	lncgSS.dw	ENSCAFG00845011623	1.1.1	41	ENSG00000249057	1.1.1	0	one_to_one
ENSCAFG00845016875	lncgSS.dw	ENSG00000070269	lncgSS.dw	ENSCAFG00845016966	n.1.1	11602	ENSG00000258803	1.1.1	0	one_to_one
ENSCAFG00845007199	lncgSS.dw	ENSG00000073146	lncgSS.dw	ENSCAFG00845006996	1.1.1	564	ENSG00000280395	1.1.1	0	one_to_one
ENSCAFG00845027343	lncgSS.dw	ENSG00000073614	lncgSS.dw	ENSCAFG00845027256	1.1.1	437	ENSG00000261799	1.1.1	2934	one_to_one
ENSCAFG00845016949	lncgSS.dw	ENSG00000073910	lncgSS.dw	ENSCAFG00845015747	1.1.1	1688	ENSG00000289617	1.1.1	0	one_to_one
ENSCAFG00845028176	lncgSS.dw	ENSG00000092969	lncgSS.dw	ENSCAFG00845028234	1.1.1	2290	ENSG00000281453	1.1.1	0	one_to_one
ENSCAFG00845023223	lncgSS.dw	ENSG00000100644	lncgSS.dw	ENSCAFG00845023468	1.1.1	167	ENSG00000288928	1.1.1	0	one_to_one
ENSCAFG00845004154	lncgSS.dw	ENSG00000100647	lncgSS.dw	ENSCAFG00845004167	1.1.1	4497	ENSG00000273797	1.1.1	0	one_to_one
ENSCAFG00845019949	lncgSS.dw	ENSG00000102401	lncgSS.dw	ENSCAFG00845019973	1.1.1	3986	ENSG00000261101	1.1.1	25	one_to_one
ENSCAFG00845002033	lncgSS.dw	ENSG00000103404	lncgSS.dw	ENSCAFG00845002120	1.1.1	177	ENSG00000260566	1.1.1	0	one_to_one
ENSCAFG00845002945	lncgSS.dw	ENSG00000113211	lncgSS.dw	ENSCAFG00845002954	1.1.1	973	ENSG00000290893	1.1.1	2709	one_to_one
ENSCAFG00845028932	lncgSS.dw	ENSG00000114686	lncgSS.dw	ENSCAFG00845028893	n.1.1	2370	ENSG00000261167	1.1.1	3614	one_to_one
ENSCAFG00845026311	lncgSS.dw	ENSG00000115170	lncgSS.dw	ENSCAFG00845026274	1.1.1	4312	ENSG00000234584	1.1.1	246	one_to_one
ENSCAFG00845014365	lncgSS.dw	ENSG00000116017	lncgSS.dw	ENSCAFG00845014357	1.1.1	319	ENSG00000275162	1.1.1	0	one_to_one
ENSCAFG00845008307	lncgSS.dw	ENSG00000116350	lncgSS.dw	ENSCAFG00845008356;ENSCAFG00845008348	1.1.1;1.1.1	4767;2318	ENSG00000225750	1.1.1	749	many_to_one
ENSCAFG00845001004	lncgSS.dw	ENSG00000116731	lncgSS.dw	ENSCAFG00845000956	1.1.1	1257	ENSG00000289380	1.1.1	0	one_to_one
ENSCAFG00845001755	lncgSS.dw	ENSG00000121931	lncgSS.dw	ENSCAFG00845001760	1.1.1	338	ENSG00000261654	1.1.1	4837	one_to_one
ENSCAFG00845016516	lncgSS.dw	ENSG00000124782	lncgSS.dw	ENSCAFG00845016753	1.1.1	1	ENSG00000225092	1.1.1	0	one_to_one
ENSCAFG00845001243	lncgSS.dw	ENSG00000130338	lncgSS.dw	ENSCAFG00845001284	1.1.1	2851	ENSG00000274023	1.1.1	0	one_to_one
ENSCAFG00845010681	lncgSS.dw	ENSG00000130770	lncgSS.dw	ENSCAFG00845010655	1.1.1	275	ENSG00000271398	1.1.1	238	one_to_one
ENSCAFG00845025360	lncgSS.dw	ENSG00000134138	lncgSS.dw	ENSCAFG00845025299	1.1.1	3782	ENSG00000259280	n.1.1	2152	one_to_one
ENSCAFG00845002159	lncgSS.dw	ENSG00000134470	lncgSS.dw	ENSCAFG00845002235	1.1.1	945	ENSG00000232807	n.n.n	0	one_to_one
ENSCAFG00845002602	lncgSS.dw	ENSG00000135823	lncgSS.dw	ENSCAFG00845002582	1.1.1	99	ENSG00000243155	1.1.1	0	one_to_one
ENSCAFG00845005032	lncgSS.dw	ENSG00000136371	lncgSS.dw	ENSCAFG00845005037	1.1.1	1076	ENSG00000259548	1.1.1	31	one_to_one
ENSCAFG00845020438	lncgSS.dw	ENSG00000138061	lncgSS.dw	ENSCAFG00845020426	1.1.1	133	ENSG00000235848	n.n.n	0	one_to_one
ENSCAFG00845002465	lncgSS.dw	ENSG00000138336	lncgSS.dw	ENSCAFG00845002505	1.1.1	2411	ENSG00000260400	1.1.1	4013	one_to_one
ENSCAFG00845016504	lncgSS.dw	ENSG00000139946	lncgSS.dw	ENSCAFG00845016539	1.1.1	365	ENSG00000275569	1.1.1	4314	one_to_one
ENSCAFG00845000843	lncgSS.dw	ENSG00000140548	lncgSS.dw	ENSCAFG00845000870	1.1.1	1151	ENSG00000273691	1.1.1	0	one_to_one
ENSCAFG00845006563	lncgSS.dw	ENSG00000141562	lncgSS.dw	ENSCAFG00845006507	1.1.1	3424	ENSG00000266236	1.1.1	0	one_to_one
ENSCAFG00845006469	lncgSS.dw	ENSG00000141568	lncgSS.dw	ENSCAFG00845026686	1.1.1	1592	ENSG00000262652	1.1.1	0	one_to_one
ENSCAFG00845019784	lncgSS.dw	ENSG00000143878	lncgSS.dw	ENSCAFG00845019808	1.1.1	43	ENSG00000228950	1.1.1	1602	one_to_one
ENSCAFG00845023138	lncgSS.dw	ENSG00000145012	lncgSS.dw	ENSCAFG00845023287	1.1.1	952	ENSG00000288794	1.1.1	0	one_to_one
ENSCAFG00845005395	lncgSS.dw	ENSG00000146054	lncgSS.dw	ENSCAFG00845005386	1.1.1	1796	ENSG00000248473	n.1.1	2072	one_to_one
ENSCAFG00845030375	lncgSS.dw	ENSG00000151067	lncgSS.dw	ENSCAFG00845030542	1.1.1	1365	ENSG00000256721;ENSG00000203593;ENSG00000256837	1.1.1;1.1.1;1.1.1	0;0;0	one_to_many
ENSCAFG00845029867	lncgSS.dw	ENSG00000151532	lncgSS.dw	ENSCAFG00845029885	1.1.1	2060	ENSG00000260917	1.1.1	4746	one_to_one
ENSCAFG00845010836	lncgSS.dw	ENSG00000152061	lncgSS.dw	ENSCAFG00845010730	1.1.1	749	ENSG00000223525;ENSG00000289425	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845014422	lncgSS.dw	ENSG00000152078	lncgSS.dw	ENSCAFG00845014409	1.1.1	1035	ENSG00000231992	1.1.1	0	one_to_one
ENSCAFG00845029501	lncgSS.dw	ENSG00000153250	lncgSS.dw	ENSCAFG00845029460	1.1.1	527	ENSG00000285373	n.1.1	271	one_to_one
ENSCAFG00845014739	lncgSS.dw	ENSG00000154719	lncgSS.dw	ENSCAFG00845014726	1.1.1	2394	ENSG00000260583	1.1.1	2330	one_to_one
ENSCAFG00845007215	lncgSS.dw	ENSG00000155792	lncgSS.dw	ENSCAFG00845007340	1.1.1	397	ENSG00000254343	n.n.n	1262	one_to_one
ENSCAFG00845026357	lncgSS.dw	ENSG00000157985	lncgSS.dw	ENSCAFG00845027402	1.1.1	2000	ENSG00000235529	n.1.1	0	one_to_one
ENSCAFG00845027435	lncgSS.dw	ENSG00000160305	lncgSS.dw	ENSCAFG00845027666	1.1.1	4900	ENSG00000223692	1.1.1	0	one_to_one
ENSCAFG00845005933	lncgSS.dw	ENSG00000162852	lncgSS.dw	ENSCAFG00845006085	1.1.1	726	ENSG00000225300	1.1.1	0	one_to_one
ENSCAFG00845026524	lncgSS.dw	ENSG00000163466	lncgSS.dw	ENSCAFG00845026647	1.1.1	716	ENSG00000261338	1.1.1	963	one_to_one
ENSCAFG00845004992	lncgSS.dw	ENSG00000164574	lncgSS.dw	ENSCAFG00845004978	1.1.1	1205	ENSG00000287695	1.1.1	0	one_to_one
ENSCAFG00845011164	lncgSS.dw	ENSG00000165495	lncgSS.dw	ENSCAFG00845011148	1.1.1	3440	ENSG00000259290	n.1.1	0	one_to_one
ENSCAFG00845002986	lncgSS.dw	ENSG00000166716	lncgSS.dw	ENSCAFG00845003020	1.1.1	965	ENSG00000259415	1.1.1	0	one_to_one
ENSCAFG00845012790	lncgSS.dw	ENSG00000167258	lncgSS.dw	ENSCAFG00845012720	1.1.1	1168	ENSG00000273576	1.1.1	2008	one_to_one
ENSCAFG00845029531	lncgSS.dw	ENSG00000171033	lncgSS.dw	ENSCAFG00845029547	1.1.1	2208	ENSG00000260398	1.1.1	685	one_to_one
ENSCAFG00845006468	lncgSS.dw	ENSG00000171310	lncgSS.dw	ENSCAFG00845006428	1.1.1	2321	ENSG00000289557	1.1.1	0	one_to_one
ENSCAFG00845021310	lncgSS.dw	ENSG00000172264	lncgSS.dw	ENSCAFG00845021227	1.1.1	2133	ENSG00000289572;ENSG00000227927	1.1.1;n.n.1	0;0	one_to_many
ENSCAFG00845010523	lncgSS.dw	ENSG00000172831	lncgSS.dw	ENSCAFG00845010490	1.1.1	555	ENSG00000265408	1.1.1	0	one_to_one
ENSCAFG00845016736	lncgSS.dw	ENSG00000173214	lncgSS.dw	ENSCAFG00845016803	1.1.1	14	ENSG00000271789	1.1.1	0	one_to_one
ENSCAFG00845012283	lncgSS.dw	ENSG00000174099	lncgSS.dw	ENSCAFG00845012389	n.1.1	32038	ENSG00000250280	1.1.1	0	one_to_one
ENSCAFG00845029239	lncgSS.dw	ENSG00000175040	lncgSS.dw	ENSCAFG00845029247	1.1.1	447	ENSG00000241679	n.n.1	0	one_to_one
ENSCAFG00845008786	lncgSS.dw	ENSG00000175591	lncgSS.dw	ENSCAFG00845008771	1.1.1	261	ENSG00000260401	1.1.1	0	one_to_one
ENSCAFG00845009198	lncgSS.dw	ENSG00000176165	lncgSS.dw	ENSCAFG00845009216	1.1.1	349	ENSG00000186960	n.n.1	0	one_to_one
ENSCAFG00845022195	lncgSS.dw	ENSG00000176887	lncgSS.dw	ENSCAFG00845022230	1.1.1	296	ENSG00000242540	n.n.1	0	one_to_one
ENSCAFG00845003529	lncgSS.dw	ENSG00000177200	lncgSS.dw	ENSCAFG00845003460	1.1.1	14	ENSG00000261291	1.1.1	0	one_to_one
ENSCAFG00845010088	lncgSS.dw	ENSG00000180198	lncgSS.dw	ENSCAFG00845010045	1.1.1	125	ENSG00000242125	n.n.1	0	one_to_one
ENSCAFG00845030032	lncgSS.dw	ENSG00000182240	lncgSS.dw	ENSCAFG00845030054	1.1.1	1102	ENSG00000224388	1.1.1	0	one_to_one
ENSCAFG00845018562	lncgSS.dw	ENSG00000183853	lncgSS.dw	ENSCAFG00845018453	1.1.1	608	ENSG00000226520	1.1.1	0	one_to_one
ENSCAFG00845028591	lncgSS.dw	ENSG00000185532	lncgSS.dw	ENSCAFG00845028481	1.1.1	1482	ENSG00000289270;ENSG00000235279	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845021981	lncgSS.dw	ENSG00000187605	lncgSS.dw	ENSCAFG00845021938	1.1.1	170	ENSG00000235499	1.1.1	0	one_to_one
ENSCAFG00845002978	lncgSS.dw	ENSG00000188803	lncgSS.dw	ENSCAFG00845003031	1.1.1	623	ENSG00000264727	1.1.1	0	one_to_one
ENSCAFG00845024257	lncgSS.dw	ENSG00000196776	lncgSS.dw	ENSCAFG00845024063	1.1.1	3301	ENSG00000279277	n.1.1	3175	one_to_one
ENSCAFG00845001525	lncgSS.dw	ENSG00000197714	lncgSS.dw	ENSCAFG00845001515	1.1.1	971	ENSG00000288899	1.1.1	3442	one_to_one
ENSCAFG00845024391	lncgSS.dw	ENSG00000197905	lncgSS.dw	ENSCAFG00845024324	1.1.1	157	ENSG00000250899	1.1.1	761	one_to_one
ENSCAFG00845000138	lncgSS.dw	ENSG00000197951	lncgSS.dw	ENSCAFG00845000121	1.1.1	460	ENSG00000269793	1.1.1	0	one_to_one
ENSCAFG00845022081	lncgSS.dw	ENSG00000204128	lncgSS.dw	ENSCAFG00845022124	1.1.1	1141	ENSG00000261829	1.1.1	2321	one_to_one
ENSCAFG00845018726	lncgSS.dw	ENSG00000204256	lncgSS.dw	ENSCAFG00845018914	1.1.1	3213	ENSG00000223837	1.1.1	0	one_to_one
ENSCAFG00845025650	lncgSS.dw	ENSG00000243927	lncgSS.dw	ENSCAFG00845025710	1.1.1	560	ENSG00000272657	1.1.1	0	one_to_one
ENSCAFG00845026814	lncgSS.dw	ENSG00000253276	lncgSS.dw	ENSCAFG00845026835	1.1.1	462	ENSG00000243797	n.n.1	0	one_to_one
ENSCAFG00845023310	lncgSS.dw	ENSG00000254535	lncgSS.dw	ENSCAFG00845023328	1.1.1	55	ENSG00000251199	n.n.1	0	one_to_one
ENSCAFG00845003318	lncgSS.dw	ENSG00000273540	lncgSS.dw	ENSCAFG00845003359	1.1.1	941	ENSG00000259636	1.1.1	0	one_to_one
ENSCAFG00845013083	lncgSS.up	ENSG00000022567	lncgSS.up	ENSCAFG00845013114	n.1.1	2975	ENSG00000253307	1.1.1	0	one_to_one
ENSCAFG00845002896	lncgSS.up	ENSG00000081818	lncgSS.up	ENSCAFG00845002889	1.1.1	1675	ENSG00000272108	1.1.1	1053	one_to_one
ENSCAFG00845013226	lncgSS.up	ENSG00000105810	lncgSS.up	ENSCAFG00845013242	1.1.1	278	ENSG00000287932	1.1.1	0	one_to_one
ENSCAFG00845011368	lncgSS.up	ENSG00000110713	lncgSS.up	ENSCAFG00845011449	1.1.1	2272	ENSG00000289468	1.1.1	0	one_to_one
ENSCAFG00845018962	lncgSS.up	ENSG00000112769	lncgSS.up	ENSCAFG00845020639	1.1.1	2959	ENSG00000270661;ENSG00000271208	1.1.1;1.1.1	0;0	one_to_many
ENSCAFG00845015282	lncgSS.up	ENSG00000113391	lncgSS.up	ENSCAFG00845015101	1.1.1	258	ENSG00000251023	1.1.1	0	one_to_one
ENSCAFG00845015278	lncgSS.up	ENSG00000117394	lncgSS.up	ENSCAFG00845015225	1.1.1	259	ENSG00000283973	n.1.1	172	one_to_one
ENSCAFG00845021928	lncgSS.up	ENSG00000121101	lncgSS.up	ENSCAFG00845023029	1.1.1	15	ENSG00000290039	1.1.1	0	one_to_one
ENSCAFG00845018632	lncgSS.up	ENSG00000122641	lncgSS.up	ENSCAFG00845018607	1.1.1	1690	ENSG00000289403	1.1.1	2152	one_to_one
ENSCAFG00845011916	lncgSS.up	ENSG00000124749	lncgSS.up	ENSCAFG00845012031	n.1.1	26552	ENSG00000227602	1.1.1	0	one_to_one
ENSCAFG00845009729	lncgSS.up	ENSG00000124772	lncgSS.up	ENSCAFG00845009947	1.1.1	4220	ENSG00000287891	n.1.1	1986	one_to_one
ENSCAFG00845027733	lncgSS.up	ENSG00000130487	lncgSS.up	ENSCAFG00845027746	1.1.1	2232	ENSG00000273272	1.1.1	2888	one_to_one
ENSCAFG00845016450	lncgSS.up	ENSG00000131409	lncgSS.up	ENSCAFG00845016414	1.1.1	4458	ENSG00000268231	1.1.1	0	one_to_one
ENSCAFG00845025227	lncgSS.up	ENSG00000136153	lncgSS.up	ENSCAFG00845025083	1.1.1	911	ENSG00000261553	n.1.1	0	one_to_one
ENSCAFG00845006509	lncgSS.up	ENSG00000136279	lncgSS.up	ENSCAFG00845006696	1.1.1	3170	ENSG00000235314	n.1.1	2334	one_to_one
